# 放一些总是被检测工具识别为不可播放其实可播放的源
cdn6,#genre#
吉林卫视,http://113.118.133.195:9999/rtp/239.77.0.150:5146
吉林卫视,http://113.118.133.195:9999/rtp/239.77.1.111:5146
辽宁卫视,http://113.118.133.195:9999/rtp/239.77.1.103:5146
辽宁卫视,http://113.118.133.195:9999/rtp/239.77.0.123:5146
内蒙古卫视,http://113.118.133.195:9999/rtp/239.77.0.70:5146
内蒙古卫视,http://113.118.133.195:9999/rtp/239.77.1.55:5146
湖南卫视,http://113.118.133.195:9999/rtp/239.77.0.88:5146
湖南卫视,http://113.118.133.195:9999/rtp/239.77.1.5:5146
广东卫视,http://113.118.133.195:9999/rtp/239.77.0.84:5146
广东卫视,http://113.118.133.195:9999/rtp/239.77.0.166:5146
广东卫视,http://113.118.133.195:9999/rtp/239.77.1.19:5146
广东卫视,http://113.118.133.195:9999/rtp/239.77.1.152:5146
大湾区卫视,http://113.118.133.195:9999/rtp/239.77.0.215:5146
大湾区卫视,http://113.118.133.195:9999/rtp/239.77.1.12:5146
河南卫视,http://113.118.133.195:9999/rtp/239.77.0.17:5146
河南卫视,http://113.118.133.195:9999/rtp/239.77.1.229:5146
河北卫视,http://113.118.133.195:9999/rtp/239.77.0.148:5146
河北卫视,http://113.118.133.195:9999/rtp/239.77.1.214:5146
宁夏卫视,http://113.118.133.195:9999/rtp/239.77.0.49:5146
宁夏卫视,http://113.118.133.195:9999/rtp/239.77.0.73:5146
宁夏卫视,http://113.118.133.195:9999/rtp/239.77.1.28:5146
宁夏卫视,http://113.118.133.195:9999/rtp/239.77.1.246:5146
甘肃卫视,http://113.118.133.195:9999/rtp/239.77.0.189:5146
甘肃卫视,http://113.118.133.195:9999/rtp/239.77.1.57:5146
青海卫视,http://113.118.133.195:9999/rtp/239.77.1.70:5146
青海卫视,http://113.118.133.195:9999/rtp/239.253.43.125:5146
新疆卫视,http://113.118.133.195:9999/rtp/239.77.0.47:5146
